Taxa;As;Se;Cd;Hg
Rhyacophilidae;0.47;1.92;0.08;0.12
Rhyacophilidae;0.29;2.08;0.22;0.04
Rhyacophilidae;0.45;2.82;0.16;0.09
Rhyacophilidae;0.56;1.34;0.23;0.09
Rhyacophilidae;0.87;0.81;0.19;0.3
Rhyacophilidae;0.81;6.57;0.08;0.09
Rhyacophilidae;0.63;6.2;0.1;0.07
Rhyacophilidae;0.69;7.11;0.04;0.1
Rhyacophilidae;0.23;4.68;0.09;0.15
Rhyacophilidae;0.21;4.33;0.13;0.13
Rhyacophilidae;0.17;4.59;0.04;0.13
Rhyacophilidae;0.39;2.97;0.46;0.04
Rhyacophilidae;0.7;2.36;0.42;0.09
Rhyacophilidae;0.32;2.01;0.28;0.06
Rhyacophilidae;0.74;3.67;0.59;0.08
Rhyacophilidae;0.35;4.11;0.28;0.39
Rhyacophilidae;0.12;6.79;0.12;0.21
Rhyacophilidae;0.4;8.18;0.06;0.24
Rhyacophilidae;0.19;6.07;0.03;0.1
Rhyacophilidae;0.51;2.57;0.94;0.46
Hydropsychidae;0.87;0.99;0.05;0.13
Hydropsychidae;1.05;1.5;0.07;0.07
Hydropsychidae;0.92;1.38;0.06;0.07
Hydropsychidae;1.35;0.64;0.07;0.14
Hydropsychidae;0.97;0.5;0.04;0.11
Hydropsychidae;1.71;0.77;0.05;0.15
Hydropsychidae;1.15;3.66;0.01;0.1
Hydropsychidae;2;3.95;0.07;0.08
Hydropsychidae;2.19;3.53;0.06;0.07
Hydropsychidae;0.7;1.62;0.65;0.13
Hydropsychidae;0.64;1.49;0.01;0.11
Hydropsychidae;1.13;2.31;0.09;0.15
Hydropsychidae;0.71;1.24;0.02;0.12
Hydropsychidae;0.82;1.37;0.11;0.21
Hydropsychidae;0.49;1.14;0.08;0.05
Hydropsychidae;0.36;0.84;0.09;0.03
Hydropsychidae;1.49;2.25;0.13;0.3
Hydropsychidae;1.21;1.68;0.38;0.25
Hydropsychidae;0.71;3.74;0.09;0.21
Hydropsychidae;0.75;4.48;0.09;0.14
Hydropsychidae;0.75;3.66;0.3;0.15
Hydropsychidae;1.65;0.74;0.15;0.52
Hydropsychidae;1.54;1.45;0.12;0.45
Heptageniidae;3.81;6.57;0.89;0.04
Heptageniidae;3.56;5.71;0.87;0.03
Heptageniidae;2.91;5.64;0.53;0.05
Heptageniidae;4.44;3.05;0.85;0.06
Heptageniidae;6.58;3.64;0.75;0.04
Heptageniidae;3.08;1.96;0.47;0.04
Heptageniidae;4.16;18.18;0.75;0.08
Heptageniidae;7.23;18.63;0.58;0.08
Heptageniidae;6.74;20.28;0.84;0.08
Heptageniidae;4.43;9.06;0.95;0.1
Heptageniidae;0.92;4.74;0.43;0.11
Heptageniidae;5.91;11.24;0.8;0.1
Heptageniidae;3;4.56;1.53;0.08
Heptageniidae;1.98;3.43;1.15;0.06
Heptageniidae;3.07;3.57;1.14;0.06
Heptageniidae;6.35;12.86;2.17;0.11
Heptageniidae;1.87;7.31;1.57;0.04
Heptageniidae;0.11;2.83;0.07;0.18
Heptageniidae;5.54;10.54;2.31;0.12
Heptageniidae;4.03;8.09;2.24;0.07
Heptageniidae;2.67;12.24;2.82;0.14
Heptageniidae;2.56;11.95;1.82;0.13
Heptageniidae;2.35;14.35;1.81;0.07
Heptageniidae;2.71;11.75;1.99;0.09
Heptageniidae;3.54;2.59;2.32;0.26
Heptageniidae;6.87;3.32;2.55;0.28
Heptageniidae;3.51;3.08;2.01;0.29
